ms_dry_mass_kg,mission_days
1036,297.26447151006096
1037,297.26447151006096
1038,297.26447151006096
1039,297.26447151006096
1040,297.26447151006096
1041,297.26447151006096
1042,297.26447151006096
1043,297.26447151006096
1044,297.26447151006096
1045,297.26447151006096
1046,297.26447151006096
1047,297.26447151006096
1048,297.26447151006096
1049,297.26447151006096
1050,297.26447151006096
1051,297.26447151006096
1052,297.26447151006096
1053,297.26447151006096
1054,297.26447151006096
1055,297.26447151006096
1056,297.26447151006096
1057,297.26447151006096
1058,297.26447151006096
1059,297.26447151006096
1060,297.26447151006096
1061,297.26447151006096
1062,297.26447151006096
1063,297.26447151006096
1064,297.26447151006096
1065,297.26447151006096
1066,297.26447151006096
1067,297.26447151006096
1068,297.26447151006096
1069,297.26447151006096
1070,297.26447151006096
1071,297.26447151006096
1072,297.26447151006096
1073,297.26447151006096
1074,297.26447151006096
1075,297.26447151006096
1076,297.26447151006096
1077,297.26447151006096
1078,297.26447151006096
1079,297.26447151006096
1080,297.26447151006096
1081,297.26447151006096
1082,297.26447151006096
1083,297.26447151006096
1084,297.26447151006096
1085,297.26447151006096
1086,297.26447151006096
1087,297.26447151006096
1088,297.26447151006096
1089,297.26447151006096
1090,297.26447151006096
1091,297.26447151006096
1092,297.26447151006096
1093,297.26447151006096
1094,297.26447151006096
1095,297.26447151006096
1096,297.26447151006096
1097,297.26447151006096
1098,297.26447151006096
1099,297.26447151006096
1100,297.26447151006096
1101,297.26447151006096
1102,297.26447151006096
1103,297.26447151006096
1104,297.26447151006096
1105,297.26447151006096
1106,297.26447151006096
1107,297.26447151006096
1108,297.26447151006096
1109,297.26447151006096
1110,297.26447151006096
1111,297.26447151006096
1112,297.26447151006096
1113,297.26447151006096
1114,297.26447151006096
1115,297.26447151006096
1116,297.26447151006096
1117,297.26447151006096
1118,297.26447151006096
1119,297.26447151006096
1120,297.26447151006096
1121,297.26447151006096
1122,297.26447151006096
1123,297.26447151006096
1124,297.26447151006096
1125,297.26447151006096
1126,297.26447151006096
1127,297.26447151006096
1128,297.26447151006096
1129,297.26447151006096
1130,297.26447151006096
1131,297.26447151006096
1132,297.26447151006096
1133,297.26447151006096
1134,297.26447151006096
1135,297.26447151006096
1136,297.26447151006096
1137,297.26447151006096
1138,297.26447151006096
1139,297.26447151006096
1140,297.26447151006096
1141,297.26447151006096
1142,297.26447151006096
1143,297.26447151006096
1144,297.26447151006096
1145,297.26447151006096
1146,297.26447151006096
1147,297.26447151006096
1148,297.26447151006096
1149,297.26447151006096
1150,297.26447151006096
1151,297.26447151006096
1152,297.26447151006096
1153,297.26447151006096
1154,297.26447151006096
1155,297.26447151006096
1156,297.26447151006096
1157,297.26447151006096
1158,297.26447151006096
1159,297.26447151006096
1160,297.26447151006096
1161,297.26447151006096
1162,297.26447151006096
1163,297.26447151006096
1164,297.26447151006096
1165,297.26447151006096
1166,297.26447151006096
1167,297.26447151006096
1168,297.26447151006096
1169,297.26447151006096
1170,297.26447151006096
1171,297.26447151006096
1172,297.26447151006096
1173,297.26447151006096
1174,297.26447151006096
1175,297.26447151006096
1176,297.26447151006096
1177,297.26447151006096
1178,297.26447151006096
1179,297.26447151006096
1180,297.26447151006096
1181,297.26447151006096
1182,297.26447151006096
1183,297.26447151006096
1184,297.26447151006096
1185,297.26447151006096
1186,297.26447151006096
1187,297.26447151006096
1188,297.26447151006096
1189,297.26447151006096
1190,297.26447151006096
1191,297.26447151006096
1192,297.26447151006096
1193,297.26447151006096
1194,297.26447151006096
1195,297.26447151006096
1196,297.26447151006096
1197,297.26447151006096
1198,297.26447151006096
1199,297.26447151006096
