mission_days,total_delta_v_m_s
180.96554892093363,574.3129884135055
181.554978048958,570.5176328319113
180.86832232173387,575.1688641228886
181.79814831944972,569.3125304007299
180.46117330717396,578.4003384597479
180.94311292675224,575.2313021805256
180.85147700781346,575.9499434936715
180.96320886776238,575.448164938574
180.80955186147827,576.636282465744
180.44013260861672,579.2077964599154
181.7944659625744,570.2137922372799
180.81850095879827,576.9936560293529
180.97460771116494,576.1187791782437
180.8385968998084,577.2105187874013
181.9013018970693,570.2332293703607
180.61641582585216,579.3156815546217
180.63183154684708,579.4767736965007
180.9454529756243,577.470193953559
179.67939784827982,586.5743127905504
179.4651686268828,588.0401456483078
179.67705782515776,586.9551840224865
179.67337541066937,587.0055465820094
181.88026072579873,572.0894382563081
180.5473657857261,581.1290012808606
181.73293770337378,573.3549039850575
180.651927015144,580.7423873403288
180.934053772427,578.9730276848525
180.50533096417777,582.4806930069232
180.6542670574791,581.6312154628747
181.36442310174027,576.8335863298847
181.71189653210325,575.2111128710048
180.66332618546505,582.354364270443
180.63417158488306,583.7396701171485
180.36778267470424,585.6106790157453
180.36544265513112,585.9056615934312
180.3805239406858,586.0800642672823
181.97610748132084,575.4817023104614
181.97242506683244,575.5320648699843
180.39693704534142,586.5811881353347
180.40295939979575,586.5734297718413
180.6227726499248,585.1614180096752
180.37684158381046,586.9813261038325
180.40061940898266,587.3456779111104
180.6196101180392,586.2047756603002
180.7187782017752,586.0202638910642
180.3828639271997,588.681884426115
180.69773703050467,587.8764727770114
180.37146499224144,590.1036323186418
180.8347412451804,587.210029042085
180.80324611401778,587.6643392247279
180.8146453109362,588.6589178963625
180.8055861886619,588.9445442546069
181.95005075083313,581.5698974491889
181.94636839395784,582.4711592857391
182.99678668666775,576.4029910649863
180.55427853097854,593.8867585635734
180.55193850785645,594.2676297955096
180.54825609336808,594.3179923550324
181.42224382475854,588.4770448924453
181.59365888447388,593.3327096640872
181.57261771320339,595.1889185500345
180.41507577828904,603.3953539560291
179.66116987766156,610.0881587239337
179.65882985808844,610.3831413016194
180.39498030569297,605.5038086103029
179.69032424829874,611.0586678435229
180.42550624883086,606.3203033695239
179.67022878676784,611.4588058120207
180.50126825684117,606.1240167771418
180.3835813707347,606.9255565028296
180.3925301998157,607.3640159052053
180.46977360087922,607.4521552919035
180.41262566811258,608.6296295490334
180.4898687587091,608.2591666528137
180.5663949094718,610.7086827477613
180.49881814666472,611.3582923701462
180.5969213085462,611.1759681411659
180.67268067289024,611.0152793873455
180.68486538891045,611.0013984680102
180.70730091037865,611.1318355867697
180.71636017332315,611.8888754657282
179.42115052360612,620.6881356317033
180.70496085720737,612.2670121118383
179.8416432963254,618.7954720632208
180.68720543778255,613.2402902410436
180.57588013744285,614.5242440995685
180.65258472758092,614.1724849273991
179.418810555555,622.6441944712044
180.6758065028243,614.6620381335701
180.56394476698637,615.5515814334326
180.6831106707188,614.9889796866199
180.64118552438362,615.6753186586924
180.37961564284737,617.6586306841278
180.65013462170364,616.0326922223014
180.37727562327424,617.9536132618136
182.0737663581446,606.6526031718842
180.6702305627138,616.2495549803498
180.40877001348454,618.6291398037173
180.46346785341876,618.4802120508876
180.3886745519536,619.0292777722149
180.4835630112486,619.2872234117978
180.88777523303855,616.7445402373701
180.48590305358374,620.1760515343437
180.128307985164,622.6008449930943
180.9595584131037,617.2637680228056
180.9887130999635,617.4923426644013
180.85862004156144,618.4451643785019
180.4949624920367,621.3578026248299
180.95721836814033,618.4156764615527
180.85627995608115,619.1889639962374
181.81194294111503,612.9974197288899
180.42369877151418,622.3981476508404
180.12596801711294,624.5569038325954
180.86767920578012,619.6076367274691
180.9686174204902,618.9747880544269
180.7911942194082,620.3854426375024
180.46580789145472,622.7431084715354
180.4605301912202,622.8391110643286
180.820348906268,620.614017279098
181.78784315855793,614.1200542141696
182.08479996546336,612.2628892031557
180.21216024725746,625.0835026216693
180.43948949266291,623.6465690644959
180.22857304144603,625.1260242068037
